,종목명,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,매출액,자산총계,부채총계,영업이익,매출액증가율,영업이익증가율,당기순이익,주당순이익,보통부배당금,ROA,PBR,유보율,pbr_rank,회사명,magic,magic_rank,final_rank
265,대웅제약,2500,15816,11587,5.07,143219,94.01,4.34,11134,12457,6097,447,7.95,61.93,11134,12457,6097,447.0,7.95,61.93,442.0,대웅제약,0.7521281864097655,115.0,557.0
266,에이텍티앤,500,490,5340,3.63,76988,21.4,5.28,1280,1280,447,52,7.96,-33.93,1280,1280,447,52.0,7.96,-33.93,444.0,에이텍티앤,0.37416401485612033,423.0,867.0
267,티피씨글로벌,500,213,10324,0.51,17582,-5.64,-3.81,847,1287,619,5,7.97,-52.19,847,1287,619,5.0,7.97,-52.19,445.0,티피씨글로벌,0.23918550732345664,754.0,1199.0
268,대한제분,5000,2772,1690,9.5,28531,15.88,2.25,9339,10051,2453,235,8.01,-28.4,9339,10051,2453,235.0,8.01,-28.4,447.0,대한제분,0.23651925931490744,760.0,1207.0
269,동원F&B,5000,7159,3859,6.9,8306,11.09,10.0,30303,15735,8923,1014,8.13,16.28,30303,15735,8923,1014.0,8.13,16.28,452.0,동원F&B,1.000712285355335,51.0,503.0
270,경남제약,500,1441,17053,1.03,130744,-38.58,-10.09,448,745,133,-31,8.14,-274.42,448,745,133,-31.0,8.14,-274.42,453.0,경남제약,0.27521462552172965,644.0,1097.0
271,큐로컴,500,2332,113758,1.83,364846,-12.35,-33.26,151,966,590,-118,8.17,-12.27,151,966,590,-118.0,8.17,-12.27,455.0,큐로컴,0.13143123706297521,1092.0,1547.0
272,이랜시스,100,525,27052,0.05,215353,47.32,5.78,523,466,224,41,8.17,-0.99,523,466,224,41.0,8.17,-0.99,455.0,이랜시스,0.38067625597933386,413.0,868.0
273,나노브릭,1000,634,4560,0.19,30158,-75.96,-9.96,78,246,104,-15,8.2,-17.1,78,246,104,-15.0,8.2,-17.1,457.0,나노브릭,0.13431735536703998,1088.0,1545.0
274,이상네트웍스,500,577,9015,20.68,5231,9.33,10.48,582,1547,469,75,8.23,10.28,582,1547,469,75.0,8.23,10.28,459.0,이상네트웍스,0.17700411088771448,957.0,1416.0
275,화신,500,695,34920,2.28,101559,-2.47,2.24,11643,8084,5087,19,8.23,109.21,11643,8084,5087,19.0,8.23,109.21,459.0,화신,0.24632455839276524,731.0,1190.0
276,오르비텍,500,641,23791,3.82,63874,-35.93,1.47,749,1267,579,41,8.28,-1.66,749,1267,579,41.0,8.28,-1.66,461.0,오르비텍,0.12338935448105892,1113.0,1574.0
277,강남제비스코,1000,985,6500,10.21,9684,7.74,2.8,3325,6723,1111,-20,8.31,-215.76,3325,6723,1111,-20.0,8.31,-215.76,462.0,강남제비스코,0.07273621788190347,1239.0,1701.0
278,마크로젠,500,3550,10612,1.74,244813,-27.88,-3.03,1223,2255,1177,7,8.35,-22.47,1223,2255,1177,7.0,8.35,-22.47,465.0,마크로젠,0.3606751937162151,448.0,913.0
279,경인양행,500,3567,40906,8.59,4534016,25.95,6.57,3588,4721,2346,236,8.37,19.62,3588,4721,2346,236.0,8.37,19.62,466.0,경인양행,0.3569342988817667,461.0,927.0
280,덕산하이메탈,200,1531,22719,1.41,89205,7.33,5.67,518,2102,102,41,8.39,251.12,518,2102,102,41.0,8.39,251.12,467.0,덕산하이메탈,0.0562802515400036,1279.0,1746.0
281,제이콘텐트리,5000,5325,16385,4.3,113417,-27.22,0.34,5542,11616,7411,354,8.4,1.95,5542,11616,7411,354.0,8.4,1.95,469.0,제이콘텐트리,0.5699865900156713,196.0,665.0
282,레이언스,500,1908,16591,4.33,41861,13.25,7.81,1262,2321,378,228,8.41,7.61,1262,2321,378,228.0,8.41,7.61,470.0,레이언스,0.26201974628651137,681.0,1151.0
283,대성엘텍,500,737,99661,45.24,546673,-7.96,-24.15,3774,1105,725,-69,8.43,-388.63,3774,1105,725,-69.0,8.43,-388.63,471.0,대성엘텍,0.18821255330645528,923.0,1394.0
284,인지디스플레,500,713,43885,6.44,63069,14.91,2.7,5578,4416,2531,238,8.44,7.66,5578,4416,2531,238.0,8.44,7.66,474.0,인지디스플레,0.2788663713761823,637.0,1111.0
