,종목명,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,매출액,자산총계,부채총계,영업이익,매출액증가율,영업이익증가율,당기순이익,주당순이익,보통부배당금,ROA,PBR,유보율,date,부채비율
532,범양건영,1000,1671,24832,1.28,1454045,8.74,32.82,2761,1385,685,115,77.4,68.12,2761,1385,685,115.0,77.4,68.12,2020-08-04,0.49458483754512633
2029,디에이치피코리아,500,1340,16565,5.43,117112,8.74,14.41,604,1190,112,152,21.8,41.75,604,1190,112,152.0,21.8,41.75,2020-08-04,0.09411764705882353
486,세아제강,5000,2005,2836,6.61,108068,8.76,4.42,12272,10288,4576,459,183.15,309.88,12272,10288,4576,459.0,183.15,309.88,2020-08-04,0.4447900466562986
2381,코리아에프티,100,711,27841,37.75,159294,8.78,4.89,4387,3329,2071,82,13.07,20.91,4387,3329,2071,82.0,13.07,20.91,2020-08-04,0.6221087413637729
2028,탑엔지니어링,500,1352,15976,8.8,121086,8.79,18.76,13059,5961,2226,706,42.32,108.26,13059,5961,2226,706.0,42.32,108.26,2020-08-04,0.37342727730246605
429,선진,500,2402,23780,12.03,75217,8.79,6.72,10140,9833,6520,401,11.14,15.26,10140,9833,6520,401.0,11.14,15.26,2020-08-04,0.6630733245194752
2535,이상네트웍스,500,544,9015,20.35,6264,8.8,10.48,582,1547,469,75,8.23,10.28,582,1547,469,75.0,8.23,10.28,2020-08-04,0.3031674208144796
861,한익스프레스,500,607,12000,2.89,134198,8.82,8.3,5774,2665,1944,119,2.02,25.7,5774,2665,1944,119.0,2.02,25.7,2020-08-04,0.7294559099437148
2428,아이엠이연이,500,643,18899,0.28,3475130,8.82,9.34,3161,2377,1350,116,10.03,98.78,3161,2377,1350,116.0,10.03,98.78,2020-08-04,0.5679427850231384
669,동일고무벨트,500,1089,13650,2.66,58584,8.86,4.35,2619,2814,879,144,-0.4,19.33,2619,2814,879,144.0,-0.4,19.33,2020-08-04,0.31236673773987206
173,현대위아,5000,10456,27195,11.14,147717,8.87,1.8,73146,67743,36825,1019,-7.18,1926.12,73146,67743,36825,1019.0,-7.18,1926.12,2020-08-04,0.5435986005934192
216,현대홈쇼핑,5000,7320,12000,24.58,35255,8.89,5.03,22070,24996,7678,1297,116.85,15.44,22070,24996,7678,1297.0,116.85,15.44,2020-08-04,0.30716914706353016
58,현대건설,5000,38696,111356,21.9,2175592,8.89,6.3,172788,182270,95120,8597,3.28,2.34,172788,182270,95120,8597.0,3.28,2.34,2020-08-04,0.521863170022494
1895,덕산하이메탈,200,1861,22719,1.74,83184,8.9,5.67,518,2102,102,41,8.39,251.12,518,2102,102,41.0,8.39,251.12,2020-08-04,0.048525214081826834
2012,오성첨단소재,500,1404,61966,0.22,983586,8.95,9.68,666,2281,538,19,51.02,166.31,666,2281,538,19.0,51.02,166.31,2020-08-04,0.235861464270057
1872,펌텍코리아,500,1953,12400,1.75,52945,8.96,18.07,1754,2942,1080,269,16.09,9.47,1754,2942,1080,269.0,16.09,9.47,2020-08-04,0.36709721278042146
425,아세아시멘트,5000,2427,3896,3.52,22647,8.99,3.54,8368,19160,11100,808,-0.82,2.08,8368,19160,11100,808.0,-0.82,2.08,2020-08-04,0.5793319415448852
2010,서원인텍,500,1410,18600,7.98,584692,9.0,7.97,3029,2014,405,169,22.65,231.06,3029,2014,405,169.0,22.65,231.06,2020-08-04,0.20109235352532273
1983,에스텍파마,500,1511,11898,1.86,443790,9.02,15.87,465,1164,137,38,15.26,148.87,465,1164,137,38.0,15.26,148.87,2020-08-04,0.11769759450171821
2036,덕우전자,500,1321,15930,3.28,226548,9.02,10.43,1294,1188,298,124,46.36,499.18,1294,1188,298,124.0,46.36,499.18,2020-08-04,0.25084175084175087
98,삼성엔지니어링,5000,23716,196000,30.96,1095531,9.03,24.62,63680,45452,32424,3855,16.21,87.05,63680,45452,32424,3855.0,16.21,87.05,2020-08-04,0.7133679486051219
404,삼양패키징,5000,2728,14210,9.72,170872,9.11,10.29,3754,5639,2776,416,2.5,18.77,3754,5639,2776,416.0,2.5,18.77,2020-08-04,0.49228586628834897
2291,동운아나텍,500,821,15759,1.5,131086,9.16,29.12,548,540,293,-22,17.27,65.15,548,540,293,-22.0,17.27,65.15,2020-08-04,0.5425925925925926
83,삼성증권,5000,26611,89300,24.73,770276,9.17,8.15,66562,447296,397803,5176,36.11,12.97,66562,447296,397803,5176.0,36.11,12.97,2020-08-04,0.8893506760623837
